block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
7,36,1thatit_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,Teaching
7,37,2seethat_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,Teaching
7,38,2seeit_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,Teaching
7,39,1thatsee_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,Teaching
7,40,2itthat_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,Teaching
7,41,1itsee_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,Teaching
7,42,1seeit_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,Teaching
7,43,2thatsee_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,Teaching
7,44,1thatsee_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,Teaching
7,45,2seeit_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,Teaching
7,46,2seethat_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,Teaching
7,47,1thatit_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,Teaching
8,48,where_ball,ball_square,shoe_square,black,ball,left,0,,black-background,FAM_LWL
8,49,find_dax,nov7_square,nov8_square,black,dax_red,left,0,,black-background,ImmTest
8,50,find_gasser,nov10_square,nov9_square,black,gasser_red,right,2,,black-background,ImmTest
8,51,find_posk,nov8_square,nov7_square,black,posk_blue,left,0,,black-background,ImmTest
8,52,where_roke,nov10_square,nov7_square,black,roke_blue,right,2,,black-background,ImmTest
8,53,find_shoe,ball_square,shoe_square,black,shoe,right,2,,black-background,FAM_LWL
8,54,find_vab,nov10_square,nov9_square,black,vab_blue,left,0,,black-background,ImmTest
8,55,where_smope,nov7_square,nov8_square,black,smope_red,right,2,,black-background,ImmTest
8,56,where_teebu,nov8_square,nov9_square,black,teebu_blue,right,2,,black-background,ImmTest
8,57,where_fisp,nov10_square,nov7_square,black,fisp_red,left,0,,black-background,ImmTest
8,58,amazingjob,LballoonsBlack,RballoonsBlack,black,AG,center,1,,black-background,filler
9,59,whoknowsmore,girl1,girl2,nov11_circle,redspeaker,left,0,,black-background,ImmTest
9,60,whoknowsmore,girl1,girl2,nov12_circle,bluespeaker,right,2,,black-background,ImmTest
9,61,whoknows_bluetoys,girl1,girl2,black,bluespeaker,left,2,,black-background,ImmTest
9,62,whoknows_redtoys,girl1,girl2,black,redspeaker,right,0,,black-background,ImmTest
9,63,alldone,LbeachBlack,RbeachBlack,black,AG,center,1,,black-background,filler
